CompanyName,Name,City,E_Province,Latitude,Longitude,E_NAIC_Name,CO2_eq,E_Units,Symbol,Report_Year,E_DetailPageURL
Catalyst Paper Corporation,Powell River Division,Powell River,British Columbia,49.873800000000003,-124.552220000000005,Mechanical Pulp Mills,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110231&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
ARC Resources,ARCRES HZ INGA 14-24-86-23,,British Columbia,56.498970000000000,-121.520859999999999,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111529&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Alberta  Health Services,Chinook Regional Hospital,Lethbridge,Alberta,49.685290000000002,-112.816079999999999,General (except Paediatric) Hospitals,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0112289&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Trident Exploration Corp,Thunder Sweet Gas Plant 09-06,,Alberta,54.248500000000000,-114.730000000000004,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111318&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Keyera Corp,Caribou Sour Gas Plant c-004-G,Pink Mountain,British Columbia,57.338200000000001,-122.671999999999997,Conventional Oil and Gas Extraction,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110615&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Seven Generations Energy Ltd.,7G 9-28-064-04W6,Kakwa,Alberta,54.568919999999999,-118.532160000000005,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0112002&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Crescent Point Energy Corp.,Lucky Hills Oil MWB 15-10,,Saskatchewan,51.560369999999999,-109.153580000000005,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111580&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Transocean Canada Drilling Services Ltd.,Transocean Barents,St. John's,Newfoundland and Labrador,46.461900000000000,-48.497900000000001,Oil and Gas Contract Drilling,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111635&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Atlantic Power (Williams Lake) Limited Partnership,Williams Lake Power Plant,Williams Lake,British Columbia,52.160800000000002,-122.172399999999996,Other Electric Power Generation,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110322&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Agrium Inc.,Kapuskasing Phosphate Operations,,Ontario,0.000000000000000,0.000000000000000,All Other Non-Metallic Mineral Mining and Quarrying,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110418&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
